taxonID,vernacularName,language
riparias-target-list:taxon:72f67670de31c81564744eaa4411aa8d,Japans hoefblad,nl
riparias-target-list:taxon:72f67670de31c81564744eaa4411aa8d,Pétasitè du Japon,fr
riparias-target-list:taxon:cc409919c1cc8c8b7b9c548321d53402,Manchurian wildrice,en
riparias-target-list:taxon:cc409919c1cc8c8b7b9c548321d53402,Mantsjoerese wilde rijst,nl
riparias-target-list:taxon:cc409919c1cc8c8b7b9c548321d53402,Riz sauvage de Mandchourie,fr
riparias-target-list:taxon:e7707384fdc3348d50953fcb6994123a,monkeyflower,en
riparias-target-list:taxon:e7707384fdc3348d50953fcb6994123a,gele maskerbloem,nl
riparias-target-list:taxon:e7707384fdc3348d50953fcb6994123a,Mimule tachetée,fr
riparias-target-list:taxon:eacc7e68568cb194281e03109e3f881d,Chinese lizard tail,en
riparias-target-list:taxon:eacc7e68568cb194281e03109e3f881d,moerasanemoon,nl
riparias-target-list:taxon:eacc7e68568cb194281e03109e3f881d,poivre de Chine,fr
riparias-target-list:taxon:509dce8d0af1d61c30ebc7cbca9b7327,lizard's tail,en
riparias-target-list:taxon:509dce8d0af1d61c30ebc7cbca9b7327,Leidse plant,nl
riparias-target-list:taxon:509dce8d0af1d61c30ebc7cbca9b7327,Lézardelle penchée Riparian plant,fr
riparias-target-list:taxon:8d33f6ebfbcdbf5a7ba38211853bc07c,white river crayfish,en
riparias-target-list:taxon:8d33f6ebfbcdbf5a7ba38211853bc07c,gestreepte Amerikaanse rivierkreeft,nl
riparias-target-list:taxon:8d33f6ebfbcdbf5a7ba38211853bc07c,Ecrevisse blanche de rivière,fr
riparias-target-list:taxon:b9379f3fa97e8033620d69c79372e63c,calico crayfish,en
riparias-target-list:taxon:b9379f3fa97e8033620d69c79372e63c,calicotrivierkreeft,nl
riparias-target-list:taxon:b9379f3fa97e8033620d69c79372e63c,Ecrevisse calicot,fr
riparias-target-list:taxon:effc3f0be85335b18eb1ccaeb314ab79,Kentucky river crayfish,en
riparias-target-list:taxon:effc3f0be85335b18eb1ccaeb314ab79,Kentuckyrivierkreeft,nl
riparias-target-list:taxon:effc3f0be85335b18eb1ccaeb314ab79,Écrevisse juvénile,fr
riparias-target-list:taxon:50312d36e99ebf5b3bf236e396f2cd10,Australian yabbi,en
riparias-target-list:taxon:50312d36e99ebf5b3bf236e396f2cd10,gewone yabby,nl
riparias-target-list:taxon:50312d36e99ebf5b3bf236e396f2cd10,Ecrevisse de Murray,fr
